"row","col","expected","actual","file"
24795,"samp_name","delimiter or quote","s","'E:/NASIS-KSSL-LDM/LDM/combine_nasis_ncss.txt.gz'"
24795,"samp_name","delimiter or quote","s","'E:/NASIS-KSSL-LDM/LDM/combine_nasis_ncss.txt.gz'"
24795,NA,"80 columns","79 columns","'E:/NASIS-KSSL-LDM/LDM/combine_nasis_ncss.txt.gz'"
25010,"samp_name","delimiter or quote","l","'E:/NASIS-KSSL-LDM/LDM/combine_nasis_ncss.txt.gz'"
25010,"samp_name","delimiter or quote","t","'E:/NASIS-KSSL-LDM/LDM/combine_nasis_ncss.txt.gz'"
25010,NA,"80 columns","79 columns","'E:/NASIS-KSSL-LDM/LDM/combine_nasis_ncss.txt.gz'"
25011,"samp_name","delimiter or quote","l","'E:/NASIS-KSSL-LDM/LDM/combine_nasis_ncss.txt.gz'"
28151,"samp_name","delimiter or quote","t","'E:/NASIS-KSSL-LDM/LDM/combine_nasis_ncss.txt.gz'"
28151,"samp_name","delimiter or quote","s","'E:/NASIS-KSSL-LDM/LDM/combine_nasis_ncss.txt.gz'"
28151,NA,"80 columns","79 columns","'E:/NASIS-KSSL-LDM/LDM/combine_nasis_ncss.txt.gz'"
63726,"samp_name","delimiter or quote","G","'E:/NASIS-KSSL-LDM/LDM/combine_nasis_ncss.txt.gz'"
63726,"samp_name","delimiter or quote","s","'E:/NASIS-KSSL-LDM/LDM/combine_nasis_ncss.txt.gz'"
63726,NA,"80 columns","79 columns","'E:/NASIS-KSSL-LDM/LDM/combine_nasis_ncss.txt.gz'"
63727,"samp_name","delimiter or quote","G","'E:/NASIS-KSSL-LDM/LDM/combine_nasis_ncss.txt.gz'"
63727,"samp_name","delimiter or quote","1","'E:/NASIS-KSSL-LDM/LDM/combine_nasis_ncss.txt.gz'"
63727,NA,"80 columns","78 columns","'E:/NASIS-KSSL-LDM/LDM/combine_nasis_ncss.txt.gz'"
90745,"samp_name","delimiter or quote","s","'E:/NASIS-KSSL-LDM/LDM/combine_nasis_ncss.txt.gz'"
90745,"samp_name","delimiter or quote","s","'E:/NASIS-KSSL-LDM/LDM/combine_nasis_ncss.txt.gz'"
90745,NA,"80 columns","79 columns","'E:/NASIS-KSSL-LDM/LDM/combine_nasis_ncss.txt.gz'"
90960,"samp_name","delimiter or quote","l","'E:/NASIS-KSSL-LDM/LDM/combine_nasis_ncss.txt.gz'"
90960,"samp_name","delimiter or quote","t","'E:/NASIS-KSSL-LDM/LDM/combine_nasis_ncss.txt.gz'"
90960,NA,"80 columns","79 columns","'E:/NASIS-KSSL-LDM/LDM/combine_nasis_ncss.txt.gz'"
90961,"samp_name","delimiter or quote","l","'E:/NASIS-KSSL-LDM/LDM/combine_nasis_ncss.txt.gz'"
94101,"samp_name","delimiter or quote","t","'E:/NASIS-KSSL-LDM/LDM/combine_nasis_ncss.txt.gz'"
94101,"samp_name","delimiter or quote","s","'E:/NASIS-KSSL-LDM/LDM/combine_nasis_ncss.txt.gz'"
94101,NA,"80 columns","79 columns","'E:/NASIS-KSSL-LDM/LDM/combine_nasis_ncss.txt.gz'"
129676,"samp_name","delimiter or quote","G","'E:/NASIS-KSSL-LDM/LDM/combine_nasis_ncss.txt.gz'"
129676,"samp_name","delimiter or quote","s","'E:/NASIS-KSSL-LDM/LDM/combine_nasis_ncss.txt.gz'"
129676,NA,"80 columns","79 columns","'E:/NASIS-KSSL-LDM/LDM/combine_nasis_ncss.txt.gz'"
129677,"samp_name","delimiter or quote","G","'E:/NASIS-KSSL-LDM/LDM/combine_nasis_ncss.txt.gz'"
129677,"samp_name","delimiter or quote","1","'E:/NASIS-KSSL-LDM/LDM/combine_nasis_ncss.txt.gz'"
129677,NA,"80 columns","78 columns","'E:/NASIS-KSSL-LDM/LDM/combine_nasis_ncss.txt.gz'"
