"table_name","field_sequence","column_name","column_description"
"lab_analysis_procedure","1","apid","An internal ID (integer) that is part (or all) of a key that uniquely identifies a record.  Also known as part (or all) of the ""primary key"".  This value is managed by NASIS and cannot be edited"
"lab_analysis_procedure","9","Links_to_SSIR_42_V_5","Links_to_SSIR_42_V_5"
"lab_analysis_procedure","10","notes","Notes describing decisions, issues, or other history related to the record."
"lab_analysis_procedure","8","PDF_pg","PDF_pg"
"lab_analysis_procedure","5","proced_abbrev","A character string containing the procedure abbreviation."
"lab_analysis_procedure","6","proced_desc","proced_desc"
"lab_analysis_procedure","4","proced_name","A character string containing the Soil Survey Laboratory name of the procedure."
"lab_analysis_procedure","2","procedure_key","procedure key"
"lab_analysis_procedure","3","requested_anal_name","requested_anal_name"
"lab_analysis_procedure","7","SSIR_5_Page","SSIR_5_Page"
"lab_analyte","4","analyte_abbrev","A character string containing the Analyte Abbreviation, the short name given to a particular analyte (reportable result)."
"lab_analyte","10","analyte_agg_method","analyte_agg analysis method"
"lab_analyte","11","analyte_algorithm","analyte_algorithm"
"lab_analyte","5","analyte_code","A character string containing the Analyte Code is a SSL assigned code which identifies a particular analyte. The code is used as a formative element of the method code, reported with the analyte result."
"lab_analyte","6","analyte_data_type","analyte_data_type"
"lab_analyte","12","analyte_desc","A character string containing the description of the analyte. Some analytes have special meaning in soil characterization, which is different than the conventional analytical meaning."
"lab_analyte","7","analyte_format","analyte_format"
"lab_analyte","1","analyte_key","analyte key"
"lab_analyte","3","analyte_name","A character string containing the name of the analyte used by the SSL. The analyte is a property or analytical result derived from raw data."
"lab_analyte","13","analyte_size_frac_base","analyte_size_frac_base"
"lab_analyte","9","analyte_source_type","analyte_source_type"
"lab_analyte","2","analyte_type","analyte_type"
"lab_analyte","8","uom_abbrev","A character string containing the unit of measure abbreviation."
"lab_area","8","area_abbrev","area_abbrev"
"lab_area","6","area_code","area_code"
"lab_area","9","area_desc","area_desc"
"lab_area","1","area_key","area key"
"lab_area","7","area_name","The name given to the specified geographic area."
"lab_area","3","area_sub_type","area_sub_type"
"lab_area","2","area_type","The record ID (an integer number) of a particular record (component record, horizon record, etc.) in a particular table (component table, horizon table, etc.). A record ID is not sufficient in and of itself to uniquely identify a record in a table. Each record in a table is uniquely identified by the combination of a record ID and the ID of the database in which the entity (area type, legend or data mapunit), of which the record is a member, was created."
"lab_area","4","parent_area_key","parent_area key"
"lab_area","5","parent_org_key","parent_org key"
"lab_calculations_and_estimates","4","bulk_density_3rd_bar_for_calc","bulk_density_3rd_bar_for_calc"
"lab_calculations_and_estimates","5","bulk_density_3rd_bar_source","bulk_density_3rd_bar_source"
"lab_calculations_and_estimates","9","bulk_density_oven_dry_ws","Bulk density, whole soil, oven dry is the weight per unit volume of the whole soil, with volume measured on oven dry natural fabric (clods). It is reported as grams per cubic centimeter on a whole soil base."
