"from","to","fields"
"analyte","method","procedure_key"
"analyte","procedure","procedure_key"
"calculations","chemical","labsampnum"
"calculations","geochemical","labsampnum"
"calculations","glass","labsampnum"
"calculations","layer","labsampnum"
"calculations","physical","labsampnum"
"calculations","preparation","prep_code"
"calculations","rosetta","result_source_key"
"calculations","xray_thermal","labsampnum"
"chemical","geochemical","labsampnum"
"chemical","glass","labsampnum"
"chemical","layer","labsampnum"
"chemical","physical","labsampnum"
"chemical","preparation","prep_code"
"chemical","rosetta","result_source_key"
"chemical","xray_thermal","labsampnum"
"geochemical","glass","labsampnum"
"geochemical","layer","labsampnum"
"geochemical","physical","labsampnum"
"geochemical","preparation","prep_code"
"geochemical","rosetta","result_source_key"
"geochemical","xray_thermal","labsampnum"
"glass","layer","labsampnum"
"glass","physical","labsampnum"
"glass","preparation","prep_code"
"glass","rosetta","result_source_key"
"glass","xray_thermal","labsampnum"
"layer","nasis_ncss","pedon_key|site_key"
"layer","nasis_pedon","pedon_key|site_key"
"layer","nasis_site","site_key"
"layer","physical","labsampnum"
"layer","rosetta","layer_key"
"layer","webmap","pedon_key"
"layer","xray_thermal","labsampnum"
"method","procedure","procedure_key"
"nasis_ncss","nasis_pedon","pedon_key|pedlabsampnum|site_key"
"nasis_ncss","nasis_site","site_key"
"nasis_ncss","webmap","pedon_key"
"nasis_pedon","nasis_site","site_key"
"nasis_pedon","webmap","user_pedon_id|pedon_key"
"physical","preparation","prep_code"
"physical","rosetta","result_source_key"
"physical","xray_thermal","labsampnum"
"preparation","xray_thermal","prep_code"
"rosetta","xray_thermal","result_source_key"
