"from","to","fields"
"analyte","method","procedure_key|requested_anal_name|proced_name|proced_abbrev|proced_desc"
"analyte","procedure","procedure_key|requested_anal_name|proced_name|proced_abbrev|proced_desc"
"calculations","chemical","labsampnum|result_source_key|prep_code"
"calculations","geochemical","labsampnum|result_source_key|prep_code"
"calculations","glass","labsampnum|result_source_key|prep_code"
"calculations","layer","labsampnum"
"calculations","physical","labsampnum|result_source_key|prep_code"
"calculations","preparation","prep_code"
"calculations","rosetta","result_source_key"
"calculations","xray_thermal","labsampnum|result_source_key|prep_code"
"chemical","geochemical","labsampnum|result_source_key|prep_code"
"chemical","glass","labsampnum|result_source_key|prep_code"
"chemical","layer","labsampnum"
"chemical","physical","labsampnum|result_source_key|prep_code"
"chemical","preparation","prep_code"
"chemical","rosetta","result_source_key"
"chemical","xray_thermal","labsampnum|result_source_key|prep_code"
"geochemical","glass","labsampnum|result_source_key|prep_code"
"geochemical","layer","labsampnum"
"geochemical","physical","labsampnum|result_source_key|prep_code"
"geochemical","preparation","prep_code"
"geochemical","rosetta","result_source_key"
"geochemical","xray_thermal","labsampnum|result_source_key|prep_code"
"glass","layer","labsampnum"
"glass","physical","labsampnum|result_source_key|prep_code"
"glass","preparation","prep_code"
"glass","rosetta","result_source_key"
"glass","xray_thermal","labsampnum|result_source_key|prep_code|analyzed_size_frac"
"layer","nasis_ncss","pedon_key|site_key"
"layer","nasis_pedon","pedon_key|site_key"
"layer","nasis_site","site_key"
"layer","physical","labsampnum"
"layer","rosetta","layer_key"
"layer","webmap","pedon_key"
"layer","xray_thermal","labsampnum"
"method","procedure","procedure_key|requested_anal_name|proced_name|proced_abbrev|proced_desc"
"nasis_ncss","nasis_pedon","pedon_key|pedlabsampnum|site_key"
"nasis_ncss","nasis_site","site_key"
"nasis_ncss","webmap","pedon_key"
"nasis_pedon","nasis_site","site_key"
"nasis_pedon","webmap","user_pedon_id|pedon_key"
"physical","preparation","prep_code"
"physical","rosetta","result_source_key"
"physical","xray_thermal","labsampnum|result_source_key|prep_code"
"preparation","xray_thermal","prep_code"
"rosetta","xray_thermal","result_source_key"
