"method","columns"
"ca_nh4_ph_7_method","mg_nh4_ph_7"
"mg_nh4_ph_7_method","na_nh4_ph_7"
"na_nh4_ph_7_method","k_nh4_ph_7"
"k_nh4_ph_7_method","acidity_bacl2_tea_ph_8_2"
"acidity_bacl2_tea_ph_82_method","aluminum_kcl_extractable"
"aluminum_kcl_extract_method","manganese_kcl_extractable"
"manganese_kcl_extract_method","iron_kcl_extractable"
"iron_kcl_extractable_method","cec_nh4_ph_7"
"cec_nh4_ph_7_method","total_carbon_ncs"
"total_carbon_ncs_method","total_nitrogen_ncs"
"total_nitrogen_ncs_method","total_sulfur_ncs"
"total_sulfur_ncs_method","organic_carbon_walkley_black"
"oc_walkley_black_method","fe_dithionite_citrate_extract"
"iron_dc_extract_method","aluminum_dithionite_citrate"
"aluminum_dc_extract_method","manganese_dithionite_citrate"
"manganese_dc_extract_method","ammoniumoxalate_opticaldensity"
"ammonium_ox_opt_dens_method","fe_ammoniumoxalate_extractable"
"iron_ammonium_oxalate_method","aluminum_ammonium_oxalate"
"al_ammonium_oxalate_method","silica_ammonium_oxalate"
"silica_ammonium_oxalate_method","manganese_ammonium_oxalate"
"mn_ammonium_oxalate_method","carbon_sodium_pyro_phospate"
"c_na_pyro_phosphate_method","iron_sodium_pyro_phosphate"
"iron_na_pyro_phosphate_method","aluminum_na_pyro_phosphate"
"aluminum_na_pyro_phosphate_met","manganese_na_pyro_phosphate"
"mn_na_pyro_phosphate_method","ph_kcl"
"ph_kcl_method","ph_cacl2"
"ph_cacl2_method","ph_h2o"
"ph_h2o_method","ph_saturated_paste"
"ph_saturated_paste_method","ph_oxidized"
"ph_saturated_paste_method","ph_oxidized_initial"
"ph_oxidized_method","ph_naf"
"ph_naf_method","ph_water_extract"
"ph_water_extract_method","caco3_lt_2_mm"
"caco3_lt_2_mm_method","corrected_gypsum_lt_2_mm"
"corrected_gyp_lt_2_mm_method","resistivity_saturated_paste"
"resistivity_sp_method","ca_satx"
"ca_satx_method","mg_satx"
