TableOnFileGroup,Schema Name,Table Name,COLUMN_NAME2,column_length,Data Element,OrdinalPosition,Data Type,Max Len,Prec,Scale,Identity,NOT NULL,References,Default Value
FG1,dbo,analyte,analyte_key,11,analyte_key,1,int,          ,10,0,Y,NOT NULL,,
FG1,dbo,analyte,analyte_type,12,analyte_type,2,varchar,128,          ,          ,,NOT NULL,,
FG1,dbo,analyte,analyte_name,12,analyte_name,3,varchar,75,          ,          ,,NOT NULL,,
FG1,dbo,analyte,analyte_abbrev,14,analyte_abbrev,4,varchar,25,          ,          ,,NOT NULL,,
FG1,dbo,analyte,analyte_code,12,analyte_code,5,varchar,30,          ,          ,,,,
FG1,dbo,analyte,analyte_data_type,17,analyte_data_type,6,varchar,128,          ,          ,,NOT NULL,,
FG1,dbo,analyte,analyte_format,14,analyte_format,7,varchar,20,          ,          ,,NOT NULL,,
FG1,dbo,analyte,uom_abbrev,10,uom_abbrev,8,varchar,128,          ,          ,,,,
FG1,dbo,analyte,analyte_source_type,19,analyte_source_type,9,varchar,128,          ,          ,,NOT NULL,,
FG1,dbo,analyte,analyte_agg_method,18,analyte_agg_method,10,varchar,128,          ,          ,,,,
FG1,dbo,analyte,analyte_algorithm,17,analyte_algorithm,11,varchar,2000,          ,          ,,,,
FG1,dbo,analyte,analyte_desc,12,analyte_desc,12,varchar,2000,          ,          ,,,,
FG1,dbo,analyte,analyte_size_frac_base,22,analyte_size_frac_base,13,varchar,128,          ,          ,,,,
FG1,dbo,area,area_key,8,area_key,1,int,          ,10,0,Y,NOT NULL,,
FG1,dbo,area,area_type,9,area_type,2,varchar,128,          ,          ,,NOT NULL,,
FG1,dbo,area,area_sub_type,13,area_sub_type,3,varchar,128,          ,          ,,,,
FG1,dbo,area,parent_area_key,15,parent_area_key,4,int,          ,10,0,,,area(area_key),
FG1,dbo,area,parent_org_key,14,parent_org_key,5,int,          ,10,0,,,,
FG1,dbo,area,area_code,9,area_code,6,varchar,20,          ,          ,,,,
FG1,dbo,area,area_name,9,area_name,7,varchar,135,          ,          ,,NOT NULL,,
FG1,dbo,area,area_abbrev,11,area_abbrev,8,varchar,20,          ,          ,,,,
FG1,dbo,area,area_desc,9,area_desc,9,varchar,2000,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,pedon_key,9,pedon_key,1,int,          ,10,0,,NOT NULL,combine_nasis_ncss(pedon_key),
FG1,dbo,combine_nasis_ncss,site_key,8,site_key,2,int,          ,10,0,,NOT NULL,,
FG1,dbo,combine_nasis_ncss,pedlabsampnum,13,pedlabsampnum,3,varchar,12,          ,          ,,NOT NULL,,
FG1,dbo,combine_nasis_ncss,pedoniid,8,pedoniid,4,int,          ,10,0,,,,
FG1,dbo,combine_nasis_ncss,upedonid,8,upedonid,5,varchar,60,          ,          ,,NOT NULL,,
FG1,dbo,combine_nasis_ncss,labdatadescflag,15,labdatadescflag,6,bit,          ,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,priority,8,priority,7,varchar,1,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,priority2,9,priority2,8,varchar,1,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,samp_name,9,samp_name,9,varchar,60,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,samp_class_type,15,samp_class_type,10,varchar,128,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,samp_classdate,14,samp_classdate,11,datetime,          ,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,samp_classification_name,24,samp_classification_name,12,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,samp_taxorder,13,samp_taxorder,13,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,samp_taxsuborder,16,samp_taxsuborder,14,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,samp_taxgrtgroup,16,samp_taxgrtgroup,15,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,samp_taxsubgrp,14,samp_taxsubgrp,16,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,samp_taxpartsize,16,samp_taxpartsize,17,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,samp_taxpartsizemod,19,samp_taxpartsizemod,18,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,samp_taxceactcl,15,samp_taxceactcl,19,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,samp_taxreaction,16,samp_taxreaction,20,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,samp_taxtempcl,14,samp_taxtempcl,21,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,samp_taxmoistscl,16,samp_taxmoistscl,22,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,samp_taxtempregime,18,samp_taxtempregime,23,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,samp_taxminalogy,16,samp_taxminalogy,24,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,samp_taxother,13,samp_taxother,25,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,samp_osdtypelocflag,19,samp_osdtypelocflag,26,bit,          ,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,corr_name,9,corr_name,27,varchar,60,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,corr_class_type,15,corr_class_type,28,varchar,128,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,corr_classdate,14,corr_classdate,29,datetime,          ,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,corr_classification_name,24,corr_classification_name,30,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,corr_taxorder,13,corr_taxorder,31,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,corr_taxsuborder,16,corr_taxsuborder,32,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,corr_taxgrtgroup,16,corr_taxgrtgroup,33,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,corr_taxsubgrp,14,corr_taxsubgrp,34,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,corr_taxpartsize,16,corr_taxpartsize,35,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,corr_taxpartsizemod,19,corr_taxpartsizemod,36,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,corr_taxceactcl,15,corr_taxceactcl,37,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,corr_taxreaction,16,corr_taxreaction,38,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,corr_taxtempcl,14,corr_taxtempcl,39,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,corr_taxmoistscl,16,corr_taxmoistscl,40,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,corr_taxtempregime,18,corr_taxtempregime,41,varchar,120,          ,          ,,,,
