TableOnFileGroup	Schema Name	Table Name	Data Element	OrdinalPosition	Data Type	Max Len	Prec	Scale	Identity	NOT NULL	References	Default Value
PRIMARY	dbo	analysis_procedure	procedure_key	1	int	          	10	0	Y	NOT NULL		
PRIMARY	dbo	analysis_procedure	requested_anal_name	2	varchar	128	          	          		NOT NULL		
PRIMARY	dbo	analysis_procedure	proced_name	3	varchar	128	          	          		NOT NULL		
PRIMARY	dbo	analysis_procedure	proced_abbrev	4	varchar	20	          	          		NOT NULL		
PRIMARY	dbo	analysis_procedure	proced_desc	5	varchar	2000	          	          				
PRIMARY	dbo	analyte	analyte_key	1	int	          	10	0	Y	NOT NULL		
PRIMARY	dbo	analyte	analyte_type	2	varchar	128	          	          		NOT NULL		
PRIMARY	dbo	analyte	analyte_name	3	varchar	75	          	          		NOT NULL		
PRIMARY	dbo	analyte	analyte_abbrev	4	varchar	25	          	          		NOT NULL		
PRIMARY	dbo	analyte	analyte_code	5	varchar	30	          	          				
PRIMARY	dbo	analyte	analyte_data_type	6	varchar	128	          	          		NOT NULL		
PRIMARY	dbo	analyte	analyte_format	7	varchar	20	          	          		NOT NULL		
PRIMARY	dbo	analyte	uom_abbrev	8	varchar	128	          	          				
PRIMARY	dbo	analyte	analyte_source_type	9	varchar	128	          	          		NOT NULL		
PRIMARY	dbo	analyte	analyte_agg_method	10	varchar	128	          	          				
PRIMARY	dbo	analyte	analyte_algorithm	11	varchar	2000	          	          				
PRIMARY	dbo	analyte	analyte_desc	12	varchar	2000	          	          				
PRIMARY	dbo	analyte	analyte_size_frac_base	13	varchar	128	          	          				
NULL	dbo	Andic_Soil_Properties	natural_key	1	varchar	10	          	          		NOT NULL		
NULL	dbo	Andic_Soil_Properties	result_source_key	2	int	          	10	0		NOT NULL		
NULL	dbo	Andic_Soil_Properties	prep_code	3	varchar	64	          	          				
NULL	dbo	Andic_Soil_Properties	clay_tot	4	decimal	          	10	1				
NULL	dbo	Andic_Soil_Properties	clay_f	5	decimal	          	10	1				
NULL	dbo	Andic_Soil_Properties	co3_cly	6	decimal	          	10	1				
NULL	dbo	Andic_Soil_Properties	cosi_vcos	7	decimal	          	10	1				
NULL	dbo	Andic_Soil_Properties	clay_tot_est	8	decimal	          	10	1				
NULL	dbo	Andic_Soil_Properties	wf_0175	9	decimal	          	10	0				
NULL	dbo	Andic_Soil_Properties	vfg2	10	decimal	          	10	0				
NULL	dbo	Andic_Soil_Properties	w15l2	11	decimal	          	10	1				
NULL	dbo	Andic_Soil_Properties	w15cly	12	decimal	          	10	2				
NULL	dbo	Andic_Soil_Properties	db_13b	13	decimal	          	10	2				
NULL	dbo	Andic_Soil_Properties	COLEws	14	decimal	          	10	3				
NULL	dbo	Andic_Soil_Properties	glass_content_tot_csi	15	int	          	10	0				
NULL	dbo	Andic_Soil_Properties	glass_content_tot_vfs	16	int	          	10	0				
NULL	dbo	Andic_Soil_Properties	glass_content_tot_fs	17	int	          	10	0				
NULL	dbo	Andic_Soil_Properties	glass_content_tot_ms	18	int	          	10	0				
NULL	dbo	Andic_Soil_Properties	glass_content_tot_cs	19	int	          	10	0				
NULL	dbo	Andic_Soil_Properties	glass_content_tot_vcs	20	int	          	10	0				
NULL	dbo	Andic_Soil_Properties	glass_content_wt_avg	21	int	          	10	0				
NULL	dbo	Andic_Soil_Properties	alfe15_glass	22	int	          	10	0				
NULL	dbo	Andic_Soil_Properties	alfe60_glass	23	int	          	10	0				
